PERIOD,STATE_ID,STATE,MIN_C,MEAN_C,MAX_C,PRECIPITATION_MM
2016-10-01,31,Yucatán,20.4,26.7,33.1,45.3
2016-10-01,32,Zacatecas,9.8,18.2,26.5,9.2
2016-11-01,0,Mexico,12.7,20.1,27.4,31.0
2016-11-01,1,Aguascalientes,7.1,14.9,22.6,30.1
2016-11-01,2,Baja California,12.2,19.2,26.3,4.4
2016-11-01,3,Baja California Sur,16.2,23.2,30.2,1.3
2016-11-01,4,Campeche,20.8,26.2,31.7,53.4
2016-11-01,5,Coahuila,12.2,18.5,24.9,35.6
2016-11-01,6,Colima,21.2,27.6,34.0,67.1
2016-11-01,7,Chiapas,19.2,24.9,30.6,91.7
2016-11-01,8,Chihuahua,5.9,15.0,24.0,6.5
2016-11-01,9,Ciudad de México,8.7,15.2,21.7,45.5
2016-11-01,10,Durango,7.5,16.0,24.5,10.9
2016-11-01,11,Guanajuato,9.5,16.9,24.3,25.0
2016-11-01,12,Guerrero,17.1,24.2,31.4,31.1
2016-11-01,13,Hidalgo,10.8,17.0,23.3,53.2
2016-11-01,14,Jalisco,12.3,20.2,28.1,36.4
2016-11-01,15,Estado de México,5.6,13.0,20.4,45.3
2016-11-01,16,Michoacán,10.9,18.9,26.8,28.8
2016-11-01,17,Morelos,13.3,20.6,27.9,59.3
2016-11-01,18,Nayarit,19.7,27.0,34.4,15.2
2016-11-01,19,Nuevo León,14.0,20.1,26.1,50.0
2016-11-01,20,Oaxaca,16.5,22.6,28.7,27.8
2016-11-01,21,Puebla,9.6,16.8,24.0,48.8
2016-11-01,22,Querétaro,11.1,17.4,23.7,30.3
2016-11-01,23,Quintana Roo,21.9,27.0,32.1,35.2
2016-11-01,24,San Luis Potosí,14.4,20.5,26.5,42.9
2016-11-01,25,Sinaloa,16.7,25.5,34.4,4.8
2016-11-01,26,Sonora,10.1,19.7,29.3,0.4
2016-11-01,27,Tabasco,21.1,25.4,29.8,161.4
2016-11-01,28,Tamaulipas,17.2,22.9,28.5,53.8
2016-11-01,29,Tlaxcala,5.8,13.7,21.5,28.0
2016-11-01,30,Veracruz,16.5,21.8,27.0,113.3
2016-11-01,31,Yucatán,18.6,25.3,32.0,19.5
2016-11-01,32,Zacatecas,7.3,15.2,23.2,25.1
2016-12-01,0,Mexico,11.2,18.6,26.1,26.2
2016-12-01,1,Aguascalientes,5.1,14.5,23.8,2.1
2016-12-01,2,Baja California,8.3,14.5,20.6,45.4
2016-12-01,3,Baja California Sur,11.9,18.7,25.4,12.2
2016-12-01,4,Campeche,21.2,26.7,32.3,41.8
2016-12-01,5,Coahuila,8.3,15.3,22.4,23.8
2016-12-01,6,Colima,19.3,26.4,33.6,29.0
2016-12-01,7,Chiapas,18.3,24.6,30.9,50.2
2016-12-01,8,Chihuahua,3.6,12.5,21.4,19.3
2016-12-01,9,Ciudad de México,8.3,16.0,23.8,2.7
2016-12-01,10,Durango,3.9,13.9,23.9,16.0
2016-12-01,11,Guanajuato,8.0,16.8,25.5,1.3
2016-12-01,12,Guerrero,16.5,24.2,31.9,0.6
2016-12-01,13,Hidalgo,9.1,17.0,24.8,18.5
2016-12-01,14,Jalisco,10.1,19.2,28.2,12.7
2016-12-01,15,Estado de México,5.5,14.1,22.6,3.5
2016-12-01,16,Michoacán,9.3,18.3,27.3,12.0
2016-12-01,17,Morelos,12.5,20.8,29.0,2.2
2016-12-01,18,Nayarit,15.5,23.8,32.0,43.0
2016-12-01,19,Nuevo León,9.6,16.6,23.6,15.9
2016-12-01,20,Oaxaca,15.9,22.0,28.0,34.7
2016-12-01,21,Puebla,9.1,16.9,24.7,35.9
2016-12-01,22,Querétaro,10.8,17.4,24.0,6.5
2016-12-01,23,Quintana Roo,22.8,27.5,32.2,43.1
2016-12-01,24,San Luis Potosí,13.3,20.1,27.0,11.8
2016-12-01,25,Sinaloa,12.4,21.5,30.5,19.7
2016-12-01,26,Sonora,7.2,15.6,24.0,25.5
2016-12-01,27,Tabasco,21.3,25.8,30.3,84.8
2016-12-01,28,Tamaulipas,14.4,20.5,26.6,19.4
2016-12-01,29,Tlaxcala,4.9,13.5,22.1,4.8
2016-12-01,30,Veracruz,16.0,21.3,26.7,96.1
2016-12-01,31,Yucatán,19.6,25.8,32.1,50.8
2016-12-01,32,Zacatecas,4.9,14.6,24.2,10.4
2017-01-01,0,Mexico,8.9,17.2,25.5,14.6
2017-01-01,1,Aguascalientes,3.4,13.8,24.2,0.4
2017-01-01,2,Baja California,8.2,13.7,19.1,53.6
2017-01-01,3,Baja California Sur,10.3,17.4,24.6,8.4
2017-01-01,4,Campeche,18.8,25.2,31.5,16.1
2017-01-01,5,Coahuila,7.3,15.6,23.9,2.6
2017-01-01,6,Colima,17.4,25.0,32.7,0.0
2017-01-01,7,Chiapas,15.8,23.1,30.4,36.8
2017-01-01,8,Chihuahua,2.3,11.7,21.1,12.3
2017-01-01,9,Ciudad de México,7.0,15.4,23.8,0.0
2017-01-01,10,Durango,3.0,13.0,23.1,1.3
2017-01-01,11,Guanajuato,5.5,15.5,25.5,0.2
2017-01-01,12,Guerrero,15.5,23.4,31.3,0.2
2017-01-01,13,Hidalgo,7.1,16.2,25.2,3.1
2017-01-01,14,Jalisco,7.6,17.7,27.9,0.3
2017-01-01,15,Estado de México,1.8,12.3,22.8,0.1
2017-01-01,16,Michoacán,7.7,17.5,27.3,0.1
2017-01-01,17,Morelos,10.0,19.2,28.4,0.0
2017-01-01,18,Nayarit,14.8,23.0,31.1,0.5
2017-01-01,19,Nuevo León,8.0,16.4,24.7,10.2
2017-01-01,20,Oaxaca,12.8,20.6,28.4,6.1
2017-01-01,21,Puebla,7.2,15.9,24.6,4.4
2017-01-01,22,Querétaro,7.5,16.7,25.9,0.7
2017-01-01,23,Quintana Roo,20.8,25.9,31.0,30.5
2017-01-01,24,San Luis Potosí,12.5,20.0,27.6,1.7
2017-01-01,25,Sinaloa,10.9,19.7,28.5,3.8
2017-01-01,26,Sonora,5.7,14.1,22.6,41.6
2017-01-01,27,Tabasco,19.1,24.5,29.9,84.3
2017-01-01,28,Tamaulipas,13.0,19.9,26.8,8.3
2017-01-01,29,Tlaxcala,1.3,11.9,22.5,0.4
2017-01-01,30,Veracruz,14.1,20.5,26.9,36.9
2017-01-01,31,Yucatán,17.1,24.2,31.3,19.5
2017-01-01,32,Zacatecas,3.6,13.7,23.7,0.4
2017-02-01,0,Mexico,10.2,19.1,27.9,12.7
2017-02-01,1,Aguascalientes,4.2,14.8,25.3,2.1
2017-02-01,2,Baja California,8.8,15.1,21.3,44.9
2017-02-01,3,Baja California Sur,10.7,18.7,26.7,18.4
2017-02-01,4,Campeche,19.9,26.7,33.6,6.9
2017-02-01,5,Coahuila,9.2,18.2,27.2,11.1
2017-02-01,6,Colima,17.0,24.9,32.7,2.8
2017-02-01,7,Chiapas,17.5,25.1,32.7,8.1
